Item,Description,Price,Category,Menu
Crispy Noodles,,1.5,Extras,All Day
Almond Cookies (6 Pieces),,1.5,Extras,All Day
Fortune Cookies (10 Pieces),,1.0,Extras,All Day
Gravy (Pint),,3.5,Extras,All Day
Package Sauce,,0.1,Extras,All Day
Home Sauce,,0.25,Extras,All Day
Fresh Fruit Smoothie,Our fruit smoothies are specially made with fresh fruits of the season.,3.75,Beverages,All Day
Thai Iced Tea,,3.25,Beverages,All Day
Iced Green Tea,,3.25,Beverages,All Day
Homemade Lemon Iced Tea,,3.25,Beverages,All Day
Bottled Water,,1.25,Beverages,All Day
Can of Pop,,1.0,Beverages,All Day
